Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.805,0.5858585858585859,0.14250614250614252,0.22924901185770752,0.771043771043771
Random Forest,0.866,0.817351598173516,0.4398034398034398,0.5718849840255591,0.8563771784110766
